Immagine,Modello,Predizione,Confidenza
bomboletta (2).jpg,CNN Base,GLASS,49.9%
bomboletta (2).jpg,CNN EMP,PAPER,40.4%
bomboletta (2).jpg,ResNet18,TRASH,37.9%
bomboletta.jpg,CNN Base,TRASH,27.5%
bomboletta.jpg,CNN EMP,TRASH,87.2%
bomboletta.jpg,ResNet18,METAL,68.4%
bustine.jpg,CNN Base,METAL,51.0%
bustine.jpg,CNN EMP,TRASH,49.4%
bustine.jpg,ResNet18,METAL,71.3%
carta (2).jpg,CNN Base,PAPER,50.7%
carta (2).jpg,CNN EMP,PAPER,81.1%
carta (2).jpg,ResNet18,PAPER,99.7%
carta (3).jpg,CNN Base,METAL,76.6%
carta (3).jpg,CNN EMP,PAPER,35.0%
carta (3).jpg,ResNet18,PAPER,90.2%
carta.jpg,CNN Base,PAPER,49.6%
carta.jpg,CNN EMP,PAPER,24.9%
carta.jpg,ResNet18,PAPER,79.3%
cartone (2).jpg,CNN Base,TRASH,71.4%
cartone (2).jpg,CNN EMP,TRASH,64.2%
cartone (2).jpg,ResNet18,CARDBOARD,99.9%
cartone (3).jpg,CNN Base,TRASH,48.9%
cartone (3).jpg,CNN EMP,CARDBOARD,51.3%
cartone (3).jpg,ResNet18,CARDBOARD,97.5%
cartone (4).jpg,CNN Base,CARDBOARD,82.7%
cartone (4).jpg,CNN EMP,CARDBOARD,98.6%
cartone (4).jpg,ResNet18,CARDBOARD,99.4%
cartone.jpg,CNN Base,CARDBOARD,99.0%
cartone.jpg,CNN EMP,TRASH,80.3%
cartone.jpg,ResNet18,CARDBOARD,93.2%
fazzoletti (2).jpg,CNN Base,PLASTIC,58.6%
fazzoletti (2).jpg,CNN EMP,TRASH,89.7%
fazzoletti (2).jpg,ResNet18,PLASTIC,98.0%
fazzoletti.jpg,CNN Base,PLASTIC,73.0%
fazzoletti.jpg,CNN EMP,TRASH,74.9%
fazzoletti.jpg,ResNet18,TRASH,41.3%
latte (2).jpg,CNN Base,GLASS,31.4%
latte (2).jpg,CNN EMP,PAPER,26.0%
latte (2).jpg,ResNet18,CARDBOARD,99.7%
latte (3).jpg,CNN Base,PLASTIC,45.0%
latte (3).jpg,CNN EMP,PAPER,42.7%
latte (3).jpg,ResNet18,PLASTIC,88.3%
latte (4).jpg,CNN Base,PLASTIC,46.8%
latte (4).jpg,CNN EMP,PLASTIC,68.8%
latte (4).jpg,ResNet18,PLASTIC,59.4%
latte.jpg,CNN Base,TRASH,29.0%
latte.jpg,CNN EMP,METAL,48.7%
latte.jpg,ResNet18,TRASH,69.3%
metallo (2).jpg,CNN Base,PAPER,40.6%
metallo (2).jpg,CNN EMP,TRASH,49.4%
metallo (2).jpg,ResNet18,METAL,68.2%
metallo (3).jpg,CNN Base,METAL,77.5%
metallo (3).jpg,CNN EMP,METAL,40.0%
metallo (3).jpg,ResNet18,METAL,77.6%
metallo (4).jpg,CNN Base,GLASS,44.0%
metallo (4).jpg,CNN EMP,GLASS,27.2%
metallo (4).jpg,ResNet18,GLASS,40.5%
metallo.jpg,CNN Base,PAPER,30.1%
metallo.jpg,CNN EMP,METAL,27.0%
